Figure,Module,Title EN,Title AR,Type,Creator,Scientific source,Pages,Local file,Data file,Licence/permission,Alt text EN,Alt text AR,Verification
1,1,Reduced van der Waals isotherms and the critical point,متساويات حرارة فان دير فالس المختزلة والنقطة الحرجة,theoretical graph,Original course asset,Chang & Thoman [1],1–34,assets/figures/fig01_vdw_isotherms.svg,assets/data/fig01_vdw_isotherms.csv,Original educational asset; no third-party visual reproduced,"Reduced pressure versus reduced molar volume at three temperatures with critical point at one, one.",الضغط المختزل مقابل الحجم المختزل عند ثلاث درجات حرارة مع النقطة الحرجة عند واحد وواحد.,Verified for use
2,2,Maxwell speed distribution and temperature,توزيع ماكسويل للسرعات وتأثير الحرارة,calculated theoretical graph,Original course asset,Chang & Thoman [1],35–72,assets/figures/fig02_maxwell.svg,assets/data/fig02_maxwell.csv,Original educational asset; no third-party visual reproduced,"Three nitrogen speed distributions at 200, 300, and 600 kelvin; peaks shift right and broaden with temperature.",ثلاثة توزيعات سرعات للنيتروجين عند 200 و300 و600 كلفن؛ تتحرك القمم يميناً وتتسع مع الحرارة.,Verified for use
3,3,Pressure–volume paths and boundary work,مسارات الضغط–الحجم وشغل الحدود,idealized theoretical graph,Original course asset,Chang & Thoman [1],73–128,assets/figures/fig03_pv_work.svg,assets/data/fig03_pv_work.csv,Original educational asset; no third-party visual reproduced,Pressure-volume curves comparing isothermal and adiabatic expansion.,منحنيات ضغط–حجم تقارن التمدد المتساوي الحرارة بالتمدد الأديباتي.,Verified for use
4,4,Carnot cycle and entropy transfer,دورة كارنو وانتقال الإنتروبيا,conceptual thermodynamic diagram,Original course asset,Chang & Thoman [1],129–174,assets/figures/fig04_carnot_ts.svg,N/A,Original educational asset; no third-party visual reproduced,Rectangular Carnot cycle on temperature-entropy coordinates between 600 and 300 kelvin.,دورة كارنو مستطيلة على إحداثيات الحرارة–الإنتروبيا بين 600 و300 كلفن.,Verified for use
5,5,One-component phase equilibria,اتزانات الأطوار لمكوّن واحد,conceptual phase diagram,Original course asset,Chang & Thoman [1],175–212,assets/figures/fig05_phase_diagram.svg,N/A,Original educational asset; no third-party visual reproduced,"Schematic pressure-temperature phase diagram showing solid, liquid, vapour, triple point, and critical point.",مخطط ضغط–حرارة تخطيطي يوضح الصلب والسائل والبخار والنقطة الثلاثية والحرجة.,Verified for use
6,6,Raoult-law bubble and dew curves,منحنيات الفقاع والندى لقانون راؤولت,calculated ideal-solution graph,Original course asset,Chang & Thoman [1],213–260,assets/figures/fig06_raoult.svg,assets/data/fig06_raoult.csv,Original educational asset; no third-party visual reproduced,Pressure-composition diagram for an ideal binary mixture with pure vapour pressures 100 and 40 kilopascals.,مخطط ضغط–تركيب لمزيج ثنائي مثالي بضغطَي بخار نقيين 100 و40 كيلوباسكال.,Verified for use
7,7,Activity coefficients at low ionic strength,معاملات النشاط عند القوة الأيونية المنخفضة,calculated limiting-law graph,Original course asset,Chang & Thoman [1],261–304,assets/figures/fig07_debye_huckel.svg,assets/data/fig07_debye_huckel.csv,Original educational asset; no third-party visual reproduced,Log activity coefficient decreases linearly with square root ionic strength; divalent ions have a steeper line.,ينخفض لوغاريتم معامل النشاط خطياً مع جذر القوة الأيونية ويكون خط الأيون الثنائي أشد ميلاً.,Verified for use
8,8,"Reaction quotient, Gibbs energy, and equilibrium",حاصل التفاعل وطاقة غيبس والاتزان,theoretical graph,Original course asset,Chang & Thoman [1],305–350,assets/figures/fig08_equilibrium_q.svg,assets/data/fig08_equilibrium_q.csv,Original educational asset; no third-party visual reproduced,Dimensionless reaction Gibbs energy crosses zero when Q equals K.,طاقة غيبس التفاعلية اللابعدية تعبر الصفر عندما يساوي Q قيمة K.,Verified for use
9,9,Galvanic cell: electron and ion pathways,خلية جلفانية: مسارا الإلكترونات والأيونات,original schematic,Original course asset,Chang & Thoman [1],351–382,assets/figures/fig09_cell.svg,N/A,Original educational asset; no third-party visual reproduced,"Zinc-copper galvanic cell with two electrodes, salt bridge, external wire, voltmeter, and electron flow.",خلية جلفانية زنك–نحاس مع قطبين وجسر ملحي ودائرة خارجية وفولتميتر وتدفق الإلكترونات.,Verified for use
10,10,Quantized box energies and stationary waves,طاقات الصندوق المكمّاة والموجات الساكنة,calculated quantum model,Original course asset,Chang & Thoman [1],383–446,assets/figures/fig10_box.svg,assets/data/fig10_box.csv,Original educational asset; no third-party visual reproduced,First three sine wavefunctions displayed at energies proportional to n squared in an infinite one-dimensional box.,الدوال الموجية الجيبية الثلاث الأولى مع طاقات تتناسب مع مربع n في صندوق لا نهائي أحادي البعد.,Verified for use
11,11,Rotational and vibrational spectroscopic ladders,سلالم الطاقة الدورانية والاهتزازية الطيفية,original energy-level schematic,Original course asset,Chang & Thoman [1],447–502,assets/figures/fig11_levels.svg,N/A,Original educational asset; no third-party visual reproduced,"Rotational levels with increasing spacing and harmonic vibrational levels with equal spacing, each with an upward transition arrow.",مستويات دورانية متزايدة التباعد ومستويات اهتزازية توافقية متساوية التباعد مع سهم انتقال صاعد.,Verified for use
12,12,Hydrogen radial probability and nodes,الاحتمال الشعاعي للهيدروجين والعقد,calculated quantum graph,Original course asset,Chang & Thoman [1],503–556,assets/figures/fig12_radial.svg,assets/data/fig12_radial.csv,Original educational asset; no third-party visual reproduced,"Scaled radial probability for hydrogen 1s and 2s, with a radial node in the 2s distribution.",احتمال شعاعي مقياس للهيدروجين 1s و2s مع عقدة شعاعية في توزيع 2s.,Verified for use
