Visual ID,Filename,Title,Use type,Source,Source page,Original figure,Rights/licence basis,Educational purpose
V01,blackbody_textbook.png,Black-body spectra,Reproduced/cropped,ST10 [11],PDF p. 3 / printed p. 295,Fig. 12.2,Uploaded-material authorization,Module 1: compare measured Planck distribution with classical divergence
V02,photoelectric_apparatus.png,Photoelectric apparatus,Reproduced/cropped,ST10 [11],PDF p. 5 / printed p. 297,Fig. 12.3,Uploaded-material authorization,Module 1: connect stopping-potential measurement to energy balance
V03,interference_cox.png,Two-source interference,Reproduced/cropped,ST6 [7],PDF p. 9 / printed p. 3,Fig. 1.3,Uploaded-material authorization,Module 1: visualize constructive/destructive interference
V04,orbital_polar_grinter.png,Angular p-orbital functions,Reproduced/cropped,ST1 [2],PDF p. 118 / printed p. 102,Fig. 5.4,Uploaded-material authorization,Module 8: interpret angular sign/phase and nodal structure
V05,h2_antibonding_grinter.png,Antibonding H2 distribution,Reproduced/cropped,ST1 [2],PDF p. 161 / printed p. 145,Fig. 6.6,Uploaded-material authorization,Module 11: antibonding node and density redistribution
V06,casscf_active_space_roos.png,CASSCF/RASSCF orbital partition,Reproduced/cropped,ST8 [9],PDF p. 131 / printed p. 123,Fig. 9.5,Uploaded-material authorization,Module 15: inactive/active/secondary orbital partition
V07,planck_vs_rj.png,Planck versus Rayleigh–Jeans spectrum,Original educational illustration/graph,"[1],[2],[11]",n/a,n/a,Course-created; scientific relationship attributed,Module 1: conceptual/theoretical visualization; not measured data
V08,photoelectric_model.png,Photoelectric linear model,Original educational illustration/graph,"[1],[11]",n/a,n/a,Course-created; scientific relationship attributed,Module 1: conceptual/theoretical visualization; not measured data
V09,box_states.png,Infinite-well states,Original educational illustration/graph,"[1],[3],[7]",n/a,n/a,Course-created; scientific relationship attributed,Module 5: conceptual/theoretical visualization; not measured data
V10,tunneling_mass_width.png,Tunnelling sensitivity,Original educational illustration/graph,"[1],[5],[8]",n/a,n/a,Course-created; scientific relationship attributed,Module 5: conceptual/theoretical visualization; not measured data
V11,harmonic_levels.png,Harmonic levels,Original educational illustration/graph,"[1],[3],[5]",n/a,n/a,Course-created; scientific relationship attributed,Module 6: conceptual/theoretical visualization; not measured data
V12,morse_vs_harmonic.png,Morse/harmonic comparison,Original educational illustration/graph,"[5],[8]",n/a,n/a,Course-created; scientific relationship attributed,Module 6: conceptual/theoretical visualization; not measured data
V13,hydrogen_radial.png,Hydrogen radial probability,Original educational illustration/graph,"[1],[7]",n/a,n/a,Course-created; scientific relationship attributed,Module 8: conceptual/theoretical visualization; not measured data
V14,state_space.svg,State-space concept,Original educational illustration/graph,"[3],[4]",n/a,n/a,Course-created; scientific relationship attributed,Module 2: conceptual/theoretical visualization; not measured data
V15,wavepacket.svg,Wave-packet concept,Original educational illustration/graph,"[1],[3],[6]",n/a,n/a,Course-created; scientific relationship attributed,Modules 3–4: conceptual/theoretical visualization; not measured data
V16,angular_momentum.svg,Angular-momentum projections,Original educational illustration/graph,"[1],[2],[3]",n/a,n/a,Course-created; scientific relationship attributed,Module 7: conceptual/theoretical visualization; not measured data
V17,singlet_triplet.svg,Singlet/triplet coupling,Original educational illustration/graph,"[1],[2],[6]",n/a,n/a,Course-created; scientific relationship attributed,"Modules 7,9: conceptual/theoretical visualization; not measured data"
V18,perturbation_levels.svg,Perturbation splitting,Original educational illustration/graph,"[5],[6],[8]",n/a,n/a,Course-created; scientific relationship attributed,Module 10: conceptual/theoretical visualization; not measured data
V19,h2_mo.svg,H2 MO combinations,Original educational illustration/graph,"[2],[8],[9]",n/a,n/a,Course-created; scientific relationship attributed,Module 11: conceptual/theoretical visualization; not measured data
V20,spectroscopy_levels.svg,Spectroscopic energy scales,Original educational illustration/graph,"[2],[5]",n/a,n/a,Course-created; scientific relationship attributed,Module 12: conceptual/theoretical visualization; not measured data
V21,crystal_field.svg,Octahedral splitting,Original educational illustration/graph,[2],n/a,n/a,Course-created; scientific relationship attributed,Module 12: conceptual/theoretical visualization; not measured data
V22,scf_cycle.svg,SCF cycle,Original educational illustration/graph,"[5],[8],[9]",n/a,n/a,Course-created; scientific relationship attributed,Module 13: conceptual/theoretical visualization; not measured data
V23,correlation_ladder.svg,Correlation method ladder,Original educational illustration/graph,"[8],[9]",n/a,n/a,Course-created; scientific relationship attributed,Modules 14–15: conceptual/theoretical visualization; not measured data
V24,bell.svg,Bell experiment concept,Original educational illustration/graph,"[3],[8]",n/a,n/a,Course-created; scientific relationship attributed,Module 16: conceptual/theoretical visualization; not measured data
V25,dirac_bell_workflow.svg,Beyond Schrödinger concept map,Original educational illustration/graph,"[3],[4],[8]",n/a,n/a,Course-created; scientific relationship attributed,Module 16: conceptual/theoretical visualization; not measured data
