Figure,Module,Topic,Visual type,Creator,Original source,Source page/figure,Licence/permission,Modification,Caption/alt summary,Local location,Status
Source cover PT1,Source catalogue,"General Chemistry: Atoms First, 2nd ed.",Book cover thumbnail,John E. McMurry & Robert C. Fay,"General Chemistry: Atoms First, 2nd ed.",PDF page 1,Uploaded-course authorization stated in master prompt,Resized and embedded as data URI,Cover identifies uploaded textbook,index.html,Verified for use
Source cover ST1,Source catalogue,"Chemical Principles, 8th ed.",Book cover thumbnail,Steven S. Zumdahl & Donald J. DeCoste,"Chemical Principles, 8th ed.",PDF page 1,Uploaded-course authorization stated in master prompt,Resized and embedded as data URI,Cover identifies uploaded textbook,index.html,Verified for use
Source cover ST2,Source catalogue,"Chemistry: The Central Science, 13th ed.",Book cover thumbnail,Theodore L. Brown et al.,"Chemistry: The Central Science, 13th ed.",PDF page 1,Uploaded-course authorization stated in master prompt,Resized and embedded as data URI,Cover identifies uploaded textbook,index.html,Verified for use
1.1,1,The Structure and Stability of Atoms,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for The Structure and Stability of Atoms,Inline in index.html,Verified for use
2.1,2,Periodicity and the Electronic Structure of Atoms,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Periodicity and the Electronic Structure of Atoms,Inline in index.html,Verified for use
3.1,3,Atoms and Ionic Bonds,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Atoms and Ionic Bonds,Inline in index.html,Verified for use
4.1,4,Atoms and Covalent Bonds,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Atoms and Covalent Bonds,Inline in index.html,Verified for use
5.1,5,Covalent Bonds and Molecular Structure,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Covalent Bonds and Molecular Structure,Inline in index.html,Verified for use
6.1,6,Chemical Arithmetic: Stoichiometry,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Chemical Arithmetic: Stoichiometry,Inline in index.html,Verified for use
7.1,7,Reactions in Aqueous Solution,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Reactions in Aqueous Solution,Inline in index.html,Verified for use
8.1,8,Thermochemistry: Chemical Energy,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Thermochemistry: Chemical Energy,Inline in index.html,Verified for use
9.1,9,Gases: Their Properties and Behavior,Original conceptual SVG,Course authoring system,Scientific relationships synthesized from PT1–ST2,Not applicable,Original course artwork,Bilingual caption and accessible description,Conceptual map for Gases: Their Properties and Behavior,Inline in index.html,Verified for use
