ID,No.,Type,Author/organization,Title,Year,Publisher,Contribution,Verification,URL
PT1,1,Primary textbook,"Raymond Chang & John W. Thoman, Jr.",Physical Chemistry for the Chemical Sciences,2014,University Science Books,"Primary sequence, terminology, equations, examples, and examinable scope for all 20 modules.",Attached source examined: full contents and substantive chapter sections.,
ST1,2,Supporting textbook,Peter Atkins & Julio de Paula,"Atkins’ Physical Chemistry, 8th ed.",2006,W. H. Freeman,"Alternative thermodynamic derivations, quantum structure, spectroscopy, statistical thermodynamics, kinetics, and materials context.",Attached source examined.,
ST2,3,Supporting textbook,Peter Atkins & Julio de Paula,"Elements of Physical Chemistry, 5th ed.",2009,W. H. Freeman,"Concise conceptual explanations, key-equation organization, molecular interpretation, and revision framing.",Attached source examined.,
ST3,4,Supporting textbook,William M. Davis,"Physical Chemistry: A Modern Introduction, 2nd ed.",2012,CRC Press,Integrated molecular-to-macroscopic perspective and problem-solving emphasis.,Attached source examined.,
ST4,5,Supporting reference,"Anatol Malijevský, Josef P. Novák, Stanislav Labík et al.",Physical Chemistry in Brief,2005,"Institute of Chemical Technology, Prague","Definitions, validity conditions, equations, schematic review, transport, surfaces, and colloids.",Attached source examined.,
ST5,6,Supporting textbook,Arthur W. Adamson,"A Textbook of Physical Chemistry, 2nd ed.",1979,Academic Press,"Classical physical-chemistry treatment, wave mechanics, bonding, spectroscopy, and problem framing.",Attached source examined.,
ST6,7,Supporting textbook,K. L. Kapoor,"A Textbook of Physical Chemistry, Vol. III: Applications of Thermodynamics, 4th ed.",2015,McGraw Hill Education (India),"Phase equilibria, colligative properties, phase rule, solutions, phase diagrams, and electrochemical cells.",Attached source examined.,
IS1,8,Institutional benchmark,MIT OpenCourseWare,5.60 Thermodynamics & Kinetics — Syllabus,2008,Massachusetts Institute of Technology,"Benchmark for undergraduate thermodynamics/kinetics, problem sets, recitations, and examinations.",Verified official source; accessed 2026-08-07.,https://ocw.mit.edu/courses/5-60-thermodynamics-kinetics-spring-2008/pages/syllabus/
IS2,9,Institutional benchmark,MIT OpenCourseWare,5.61 Physical Chemistry — Syllabus,2017,Massachusetts Institute of Technology,"Benchmark for quantum mechanics, spectroscopy, homework, recitations, and examinations.",Verified official source; accessed 2026-08-07.,https://ocw.mit.edu/courses/5-61-physical-chemistry-fall-2017/pages/syllabus/
IS3,10,Institutional benchmark,"University of Oxford, Department of Chemistry",Course Structure,2026,University of Oxford,"Benchmark for integration of physical chemistry, mathematics, practical work, and tutorials.",Verified official source; accessed 2026-08-07.,https://www.chem.ox.ac.uk/course-structure
IS4,11,Institutional benchmark,University of Sydney,CHEM2534 Concepts in Chemical Physics,2026,University of Sydney,"Benchmark for computation, statistical thermodynamics, kinetics, diffraction, and laser spectroscopy.",Verified official source; accessed 2026-08-07.,https://www.sydney.edu.au/units/CHEM2534
IS5,12,Institutional benchmark,KAUST,Advanced Physical Chemistry I: Thermodynamics and Kinetics (ChemS 360),2026,King Abdullah University of Science and Technology,Benchmark for connecting theory to experimental planning and interpretation.,Verified official source; accessed 2026-08-07.,https://kc2l.kaust.edu.sa/teaching
IS6,13,Institutional benchmark,National University of Singapore,CM2101 Physical Chemistry 2 — teaching outline,2026,National University of Singapore,"Benchmark for quantum mechanics, atomic structure, bonding, and physical-chemistry progression.",Verified official source; accessed 2026-08-07.,https://blog.nus.edu.sg/zktan/teaching/
