Module,Topic,Primary/supporting sources,Visual source(s),Verification
1,"Models, evidence, reproducibility",PT1; PT2; ST2; TM1; IS1,Original course illustration where used,Verified
2,"PES, coordinates, stationary points",PT1; PT2; ST3,PT1 p.29 Fig.2.3,Verified
3,Molecular mechanics / force fields,PT1; PT2; ST4,PT2 p.39 Fig.2.1,Verified
4,"MD, MC, statistical sampling",PT2; ST2; TM1,Original course illustration where used,Verified
5,Quantum foundations / molecular orbitals,PT1; PT2; ST1,Original course illustration where used,Verified
6,Hartree–Fock / SCF,PT1; PT2; ST3,PT1 p.263 Fig.5.11,Verified
7,Basis sets / ECP / convergence,PT1; PT2; ST3; DS2,Original course illustration where used,Verified
8,Electron correlation / multireference,PT2; ST2; ST5,Original course illustration where used,Verified
9,Semiempirical / Hückel / reduced-cost models,PT1; ST1; ST2; TM1,Original course illustration where used,Verified
10,DFT,PT2; PT1; ST1,Original course illustration where used,Verified
11,Optimization / frequencies / thermochemistry,PT1; PT2; ST3,PT1 p.58 Fig.2.20,Verified
12,Reactions / TS / kinetics,PT1; PT2; ST3,Original course illustration where used,Verified
13,Properties / charge / spectroscopy,PT2; ST3; TM1,PT2 p.326 Fig.9.1,Verified
14,Solvation / periodicity / QM/MM,PT2; ST1; ST5,Original course illustration where used,Verified
15,Validation / benchmarking / HPC / data,PT2; ST5; ST6; DS1,Original course illustration where used,Verified
16,Integrated workflows / capstone,PT1; PT2; ST1; ST2; ST5; DS1,Original course illustration where used,Verified
