ILO,Domain,English outcome,Arabic outcome,Bloom,Modules,Formative,Summative
ILO1,Knowledge,"Explain macroscopic thermodynamic state, energy, entropy, equilibrium, and phase behavior using precise physical-chemistry language.",شرح الحالة الديناميكية العيانية والطاقة والإنتروبيا والاتزان وسلوك الأطوار بلغة دقيقة.,Understand / Analyze,1–9,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO2,Knowledge,"Explain molecular kinetic theory, intermolecular forces, condensed phases, and statistical thermodynamics from microscopic models.",شرح النظرية الحركية والقوى بين الجزيئية والأطوار المكثفة والديناميكا الإحصائية من نماذج مجهرية.,Understand / Analyze,"2,17–20","Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO3,Knowledge,"Apply the postulates and standard models of quantum mechanics to atomic, molecular, and spectroscopic systems.",تطبيق مسلمات ونماذج ميكانيكا الكم على الأنظمة الذرية والجزيئية والطيفية.,Apply / Analyze,10–14,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO4,Analysis,"Select and use equations with units, sign conventions, assumptions, and validity limits; derive where educationally required.",اختيار المعادلات واستخدامها بوحداتها واتفاقيات الإشارة وفرضياتها وحدود صلاحيتها واشتقاقها عند الحاجة.,Apply / Analyze,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO5,Analysis,"Interpret graphs, phase diagrams, spectra, kinetic plots, electrochemical data, and statistical distributions quantitatively.",تفسير الرسوم ومخططات الأطوار والأطياف والرسوم الحركية والبيانات الكهروكيميائية والتوزيعات الإحصائية كمياً.,Analyze,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO6,Analysis,"Solve multi-step numerical problems and evaluate physical plausibility, uncertainty, and limiting behavior.",حل مسائل عددية متعددة الخطوات وتقييم المعقولية وعدم اليقين والسلوك الحدي.,Analyze / Evaluate,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO7,Practical,"Plan safe thermodynamic, kinetic, electrochemical, spectroscopic, solution, and condensed-matter measurements or simulations.",تخطيط قياسات أو محاكاة آمنة في الديناميكا والحركية والكهروكيمياء والمطيافية والمحاليل والمادة المكثفة.,Apply / Create,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO8,Practical,"Calibrate instruments, record reproducible data, propagate uncertainty, and distinguish measured from theoretical/simulated values.",معايرة الأجهزة وتسجيل بيانات قابلة للتكرار ونشر عدم اليقين والتمييز بين المقاس والنظري/المحاكى.,Apply / Evaluate,"3,6–9,11,14–19","Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO9,Research,"Evaluate claims against textbooks, literature, official data, and model assumptions; cite evidence transparently.",تقييم الادعاءات بالرجوع إلى الكتب والأدبيات والبيانات الرسمية وفرضيات النماذج مع توثيق شفاف.,Evaluate,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO10,Communication,"Communicate physical-chemistry reasoning using equations, graphs, diagrams, tables, and scientific prose in English or Arabic.",التواصل في استدلال الكيمياء الفيزيائية بالمعادلات والرسوم والجداول والكتابة العلمية بالإنجليزية أو العربية.,Apply / Create,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO11,Digital,"Use spreadsheets or lightweight computation to explore parameters, fit simple models, visualize distributions, and check work.",استخدام الجداول أو الحوسبة الخفيفة لاستكشاف المعلمات وملاءمة نماذج بسيطة وتمثيل التوزيعات وفحص العمل.,Apply / Analyze,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO12,Professional,"Apply safety, waste minimization, ethical data handling, academic integrity, and responsible AI-use principles.",تطبيق السلامة وتقليل المخلفات وأخلاقيات البيانات والنزاهة الأكاديمية ومبادئ الاستخدام المسؤول للذكاء الاصطناعي.,Apply / Evaluate,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO13,Integration,"Connect thermodynamics, quantum structure, spectroscopy, kinetics, and statistical mechanics across scales.",ربط الديناميكا الحرارية والبنية الكمية والمطيافية والحركية والميكانيكا الإحصائية عبر المقاييس.,Analyze / Evaluate,"8,14–20","Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
ILO14,Integration,Design a justified strategy for an unfamiliar physical-chemistry problem and defend assumptions and approximations.,تصميم استراتيجية مبررة لمسألة جديدة والدفاع عن الفرضيات والتقريبات.,Evaluate / Create,1–20,"Chapter diagnostic, exercises, practical, mastery check",Problem sets/quizzes/portfolio/midterms/final as applicable
