Module,Topic,Primary source,Supporting sources,Additional/benchmark source,Visual source,Verification
1,1.1 Black-body radiation and quantization,PT1 [1],[1] Ch. 1; [2] Ch. 2; [7] Ch. 1; [11] Ch. 12; [6] Ch. 7,BEN1–BEN4 where curriculum alignment applies,assets/figures/blackbody_textbook.png; assets/figures/planck_vs_rj.png; assets/figures/photoelectric_apparatus.png; assets/figures/interference_cox.png,Examined / cited
1,1.2 The photoelectric effect,PT1 [1],[1] Ch. 1; [2] Ch. 2; [7] Ch. 1; [11] Ch. 12; [6] Ch. 7,BEN1–BEN4 where curriculum alignment applies,assets/figures/blackbody_textbook.png; assets/figures/planck_vs_rj.png; assets/figures/photoelectric_apparatus.png; assets/figures/interference_cox.png,Examined / cited
1,1.3 Matter waves and interference,PT1 [1],[1] Ch. 1; [2] Ch. 2; [7] Ch. 1; [11] Ch. 12; [6] Ch. 7,BEN1–BEN4 where curriculum alignment applies,assets/figures/blackbody_textbook.png; assets/figures/planck_vs_rj.png; assets/figures/photoelectric_apparatus.png; assets/figures/interference_cox.png,Examined / cited
1,"1.4 Bohr model as a bridge, not the final theory",PT1 [1],[1] Ch. 1; [2] Ch. 2; [7] Ch. 1; [11] Ch. 12; [6] Ch. 7,BEN1–BEN4 where curriculum alignment applies,assets/figures/blackbody_textbook.png; assets/figures/planck_vs_rj.png; assets/figures/photoelectric_apparatus.png; assets/figures/interference_cox.png,Examined / cited
2,2.1 States as rays in Hilbert space,PT1 [1],"[3] Chs. 2–6; [4] Chs. 2–3; [8] Ch. 1; [1] Chs. 3, 7",BEN1–BEN4 where curriculum alignment applies,assets/figures/state_space.svg,Examined / cited
2,2.2 Observables and Hermitian operators,PT1 [1],"[3] Chs. 2–6; [4] Chs. 2–3; [8] Ch. 1; [1] Chs. 3, 7",BEN1–BEN4 where curriculum alignment applies,assets/figures/state_space.svg,Examined / cited
2,"2.3 Superposition, basis dependence, and representation",PT1 [1],"[3] Chs. 2–6; [4] Chs. 2–3; [8] Ch. 1; [1] Chs. 3, 7",BEN1–BEN4 where curriculum alignment applies,assets/figures/state_space.svg,Examined / cited
2,2.4 Unitary evolution,PT1 [1],"[3] Chs. 2–6; [4] Chs. 2–3; [8] Ch. 1; [1] Chs. 3, 7",BEN1–BEN4 where curriculum alignment applies,assets/figures/state_space.svg,Examined / cited
3,3.1 The Born interpretation and probability density,PT1 [1],"[1] Chs. 3, 7; [3] Chs. 3, 7; [4] §2.8 and Ch. 3; [6] Chs. 9–10",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
3,3.2 Operators in position representation,PT1 [1],"[1] Chs. 3, 7; [3] Chs. 3, 7; [4] §2.8 and Ch. 3; [6] Chs. 9–10",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
3,3.3 Expectation values and statistical spread,PT1 [1],"[1] Chs. 3, 7; [3] Chs. 3, 7; [4] §2.8 and Ch. 3; [6] Chs. 9–10",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
3,3.4 Commutators and uncertainty,PT1 [1],"[1] Chs. 3, 7; [3] Chs. 3, 7; [4] §2.8 and Ch. 3; [6] Chs. 9–10",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
4,4.1 Time-dependent and time-independent equations,PT1 [1],"[1] Chs. 2, 4; [3] Chs. 9, 11–12; [4] §2.7 and Ch. 3; [8] Ch. 2",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
4,4.2 Free-particle plane waves,PT1 [1],"[1] Chs. 2, 4; [3] Chs. 9, 11–12; [4] §2.7 and Ch. 3; [8] Ch. 2",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
4,4.3 Group velocity and wave-packet motion,PT1 [1],"[1] Chs. 2, 4; [3] Chs. 9, 11–12; [4] §2.7 and Ch. 3; [8] Ch. 2",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
4,4.4 Probability conservation and current,PT1 [1],"[1] Chs. 2, 4; [3] Chs. 9, 11–12; [4] §2.7 and Ch. 3; [8] Ch. 2",BEN1–BEN4 where curriculum alignment applies,assets/figures/wavepacket.svg,Examined / cited
