Week,Session,Topics,Required reading,Learning/practical activity,Feedback
1,Chapter 1,Introduction and Gas Laws,"[1] Ch. 1, pp. 1–34",Gas-law model audit,Diagnostic → explanation → practice → feedback
2,Chapter 2,Kinetic Theory of Gases,"[1] Ch. 2, pp. 35–72",Maxwell-distribution explorer,Diagnostic → explanation → practice → feedback
3,Chapter 3,The First Law of Thermodynamics,"[1] Ch. 3, pp. 73–128",Coffee-cup calorimetry and energy balance,Diagnostic → explanation → practice → feedback
4,Chapter 4,The Second Law of Thermodynamics,"[1] Ch. 4, pp. 129–174",Heat-engine entropy accounting,Diagnostic → explanation → practice → feedback
5,Chapter 5,Gibbs and Helmholtz Energies and Their Applications,"[1] Ch. 5, pp. 175–212",Vapor-pressure data analysis,Diagnostic → explanation → practice → feedback
6,Chapter 6,Nonelectrolyte Solutions,"[1] Ch. 6, pp. 213–260",Ideal binary vapor–liquid equilibrium,Diagnostic → explanation → practice → feedback
7,Chapter 7,Electrolyte Solutions,"[1] Ch. 7, pp. 261–304",Conductivity versus concentration,Diagnostic → explanation → practice → feedback
8,Chapter 8,Chemical Equilibrium,"[1] Ch. 8, pp. 305–350",Equilibrium-shift simulator,Diagnostic → explanation → practice → feedback
9,Chapter 9,Electrochemistry,"[1] Ch. 9, pp. 351–382",Low-voltage galvanic cell study,Diagnostic → explanation → practice → feedback
10,Chapter 10,Quantum Mechanics,"[1] Ch. 10, pp. 383–446",Particle-in-a-box parameter explorer,Diagnostic → explanation → practice → feedback
11,Integration + Midterm I,Assessment and integration,Modules 1–9 review,Midterm / synthesis feedback,Diagnostic → explanation → practice → feedback
12,Chapter 10,Quantum Mechanics,"[1] Ch. 10, pp. 383–446",Particle-in-a-box parameter explorer,Diagnostic → explanation → practice → feedback
13,Chapter 11,Applications of Quantum Mechanics to Spectroscopy,"[1] Ch. 11, pp. 447–502",UV–visible calibration and IR interpretation,Diagnostic → explanation → practice → feedback
14,Chapter 12,Electronic Structure of Atoms,"[1] Ch. 12, pp. 503–556",Hydrogen radial-probability computation,Diagnostic → explanation → practice → feedback
15,Semester synthesis,Assessment and integration,Modules 1–11 review,Midterm / synthesis feedback,Diagnostic → explanation → practice → feedback
16,Chapter 12,Electronic Structure of Atoms,"[1] Ch. 12, pp. 503–556",Hydrogen radial-probability computation,Diagnostic → explanation → practice → feedback
17,Chapter 13,Molecular Electronic Structure and the Chemical Bond,"[1] Ch. 13, pp. 557–610",MO diagram construction and validation,Diagnostic → explanation → practice → feedback
18,Chapter 14,Electronic Spectroscopy and Magnetic Resonance Spectroscopy,"[1] Ch. 14, pp. 611–670",NMR spectrum reasoning workshop,Diagnostic → explanation → practice → feedback
19,Chapter 15,Chemical Kinetics,"[1] Ch. 15, pp. 671–742",Colorimetric kinetics of a safe reaction,Diagnostic → explanation → practice → feedback
20,Chapter 16,Photochemistry,"[1] Ch. 16, pp. 743–778",Safe photochemical quantum-yield analysis,Diagnostic → explanation → practice → feedback
21,Chapter 17,Intermolecular Forces,"[1] Ch. 17, pp. 779–808",Intermolecular-potential parameter study,Diagnostic → explanation → practice → feedback
22,Midterm II + photochemistry bridge,Assessment and integration,Modules 10–15 review + [1] Ch.16,Midterm / synthesis feedback,Diagnostic → explanation → practice → feedback
23,Chapter 16,Photochemistry,"[1] Ch. 16, pp. 743–778",Safe photochemical quantum-yield analysis,Diagnostic → explanation → practice → feedback
24,Chapter 17,Intermolecular Forces,"[1] Ch. 17, pp. 779–808",Intermolecular-potential parameter study,Diagnostic → explanation → practice → feedback
25,Chapter 18,The Solid State,"[1] Ch. 18, pp. 809–842",Powder XRD data interpretation,Diagnostic → explanation → practice → feedback
26,Chapter 19,The Liquid State,"[1] Ch. 19, pp. 843–874",Viscosity or diffusion data lab,Diagnostic → explanation → practice → feedback
27,Chapter 20,Statistical Thermodynamics,"[1] Ch. 20, pp. 875–906",Boltzmann and partition-function explorer,Diagnostic → explanation → practice → feedback
28,Chapter 20 + integration,Statistical Thermodynamics,"[1] Ch. 20, pp. 875–906",Boltzmann and partition-function explorer,Diagnostic → explanation → practice → feedback
29,Cumulative practical/data synthesis,Cumulative practical/data synthesis,Course-wide,Cumulative practical/data synthesis,Diagnostic → explanation → practice → feedback
30,Mock examination + final revision,Mock examination + final revision,Course-wide,Mock examination + final revision,Diagnostic → explanation → practice → feedback
