ILO,Outcome EN,Outcome AR,Bloom,Taught modules,Formative evidence,Summative evidence
ILO1,"Explain electrochemical thermodynamics, kinetics, mass transport, passivity and mixed-potential theory in corrosion systems.",شرح الديناميكا الحرارية والحركية وانتقال الكتلة والخمول ونظرية الجهد المختلط في أنظمة التآكل.,Understand/Analyze,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO2,Select a valid electrochemical technique for a stated corrosion question and justify the choice.,اختيار تقنية كهروكيميائية صالحة لمسألة تآكل محددة وتبرير الاختيار.,Evaluate,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO3,"Design three-electrode and specialized cells with appropriate reference, counter and working electrodes.",تصميم خلايا ثلاثية الأقطاب وخلايا متخصصة مع اختيار أقطاب العمل والمرجع والمساعد.,Apply/Create,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO4,"Acquire, process and critically validate polarization, LPR, EIS, noise and localized electrochemical data.",جمع ومعالجة والتحقق النقدي من بيانات الاستقطاب وLPR وEIS والضوضاء والقياسات الموضعية.,Analyze/Evaluate,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO5,"Calculate corrosion current, penetration rate, limiting current, impedance parameters and uncertainty.",حساب تيار التآكل ومعدل الاختراق والتيار الحدي ومعلمات الممانعة وعدم اليقين.,Apply,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO6,"Diagnose artefacts caused by uncompensated resistance, reference-electrode failure, nonstationarity, geometry and mass transport.",تشخيص الآثار المصطنعة الناتجة عن مقاومة المحلول وفشل قطب المرجع وعدم الاستقرار والهندسة وانتقال الكتلة.,Analyze,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO7,"Interpret electrochemical signatures of passivity, pitting, crevice corrosion, coatings, inhibition and galvanic coupling.",تفسير البصمات الكهروكيميائية للخمول والتنقر والتآكل الشقي والطلاءات والتثبيط والاقتران الجلفاني.,Analyze,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO8,Perform laboratory measurements safely and document reproducible procedures and metadata.,تنفيذ القياسات المختبرية بأمان وتوثيق إجراءات وبيانات وصفية قابلة لإعادة الإنتاج.,Apply,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO9,"Integrate electrochemical results with surface, chemical, gravimetric and field evidence.",دمج النتائج الكهروكيميائية مع الأدلة السطحية والكيميائية والوزنية والميدانية.,Evaluate,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO10,"Communicate a defensible corrosion investigation in bilingual technical prose, figures and tables.",عرض تحقيق تآكل قابل للدفاع عنه بنص تقني ثنائي اللغة وأشكال وجداول.,Create,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO11,"Evaluate environmental, safety and ethical consequences of corrosion testing and mitigation.",تقييم الآثار البيئية والسلامة والأخلاقية لاختبارات التآكل ووسائل الحد منه.,Evaluate,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
ILO12,"Use computational tools responsibly for simulation, fitting and uncertainty analysis without fabricating evidence.",استخدام الأدوات الحاسوبية بمسؤولية للمحاكاة والملاءمة وتحليل عدم اليقين دون اختلاق أدلة.,Create/Evaluate,M1–M14,Module checks; guided calculations; lab feedback,Exams; notebooks; assignment; capstone
