Module,Topic,Primary source/pages,Supporting sources,Visual,Visual status,Plot data
1,Introduction and Gas Laws,"[1] Ch. 1, pp. 1–34",[2–7],Figure 1: Reduced van der Waals isotherms and the critical point,Original; verified for use,fig01_vdw_isotherms.csv
2,Kinetic Theory of Gases,"[1] Ch. 2, pp. 35–72",[2–7],Figure 2: Maxwell speed distribution and temperature,Original; verified for use,fig02_maxwell.csv
3,The First Law of Thermodynamics,"[1] Ch. 3, pp. 73–128",[2–7],Figure 3: Pressure–volume paths and boundary work,Original; verified for use,fig03_pv_work.csv
4,The Second Law of Thermodynamics,"[1] Ch. 4, pp. 129–174",[2–7],Figure 4: Carnot cycle and entropy transfer,Original; verified for use,N/A schematic
5,Gibbs and Helmholtz Energies and Their Applications,"[1] Ch. 5, pp. 175–212",[2–7],Figure 5: One-component phase equilibria,Original; verified for use,N/A schematic
6,Nonelectrolyte Solutions,"[1] Ch. 6, pp. 213–260",[2–7],Figure 6: Raoult-law bubble and dew curves,Original; verified for use,fig06_raoult.csv
7,Electrolyte Solutions,"[1] Ch. 7, pp. 261–304",[2–7],Figure 7: Activity coefficients at low ionic strength,Original; verified for use,fig07_debye_huckel.csv
8,Chemical Equilibrium,"[1] Ch. 8, pp. 305–350",[2–7],"Figure 8: Reaction quotient, Gibbs energy, and equilibrium",Original; verified for use,fig08_equilibrium_q.csv
9,Electrochemistry,"[1] Ch. 9, pp. 351–382",[2–7],Figure 9: Galvanic cell: electron and ion pathways,Original; verified for use,N/A schematic
10,Quantum Mechanics,"[1] Ch. 10, pp. 383–446",[2–7],Figure 10: Quantized box energies and stationary waves,Original; verified for use,fig10_box.csv
11,Applications of Quantum Mechanics to Spectroscopy,"[1] Ch. 11, pp. 447–502",[2–7],Figure 11: Rotational and vibrational spectroscopic ladders,Original; verified for use,N/A schematic
12,Electronic Structure of Atoms,"[1] Ch. 12, pp. 503–556",[2–7],Figure 12: Hydrogen radial probability and nodes,Original; verified for use,fig12_radial.csv
13,Molecular Electronic Structure and the Chemical Bond,"[1] Ch. 13, pp. 557–610",[2–7],Figure 13: Bonding and antibonding molecular orbitals,Original; verified for use,N/A schematic
14,Electronic Spectroscopy and Magnetic Resonance Spectroscopy,"[1] Ch. 14, pp. 611–670",[2–7],Figure 14: Jablonski diagram for electronic relaxation,Original; verified for use,N/A schematic
15,Chemical Kinetics,"[1] Ch. 15, pp. 671–742",[2–7],Figure 15: Arrhenius plot and activation energy,Original; verified for use,fig15_arrhenius.csv
16,Photochemistry,"[1] Ch. 16, pp. 743–778",[2–7],Figure 16: Formation and photolysis of stratospheric ozone,Original; verified for use,N/A schematic
17,Intermolecular Forces,"[1] Ch. 17, pp. 779–808",[2–7],"Figure 17: Repulsion, attraction, and the Lennard–Jones minimum",Original; verified for use,fig17_lj.csv
18,The Solid State,"[1] Ch. 18, pp. 809–842",[2–7],Figure 18: Bragg diffraction from parallel lattice planes,Original; verified for use,N/A schematic
19,The Liquid State,"[1] Ch. 19, pp. 843–874",[2–7],Figure 19: Fickian diffusion broadens concentration gradients,Original; verified for use,fig19_diffusion.csv
20,Statistical Thermodynamics,"[1] Ch. 20, pp. 875–906",[2–7],Figure 20: Thermal population of a two-level system,Original; verified for use,fig20_boltzmann.csv
